Segment,R,G,B
0,254,254,254
1,254,254,254
2,252,252,252
3,201,201,201
4,3,3,3
5,201,201,201
6,254,254,254
7,135,135,135
8,254,254,254
9,251,251,251
10,254,254,254
11,135,135,135
12,254,254,254
13,254,254,254
14,243,243,243
15,254,254,254
16,201,201,201
17,254,254,254
18,203,203,206
19,254,254,254
20,224,224,224
21,254,253,254
22,251,75,109
23,254,23,68
24,254,24,68
25,254,23,68
26,254,22,67
27,0,246,241
28,41,7,12
29,40,3,14
30,245,245,254
31,0,13,254
32,158,135,0
33,234,118,60
34,254,211,0
35,35,253,18
36,0,88,244
37,254,254,254
38,239,249,0
39,254,188,0
40,254,156,0
41,227,195,0
42,254,34,0
43,254,121,0
44,254,166,0
45,254,167,0
46,254,169,0
47,254,201,0
48,254,239,0
49,254,241,0
50,254,252,0
51,254,253,0
52,249,254,0
53,246,254,0
54,227,254,0
55,191,254,0
56,190,254,0
57,153,254,0
58,144,254,0
59,136,254,0
60,101,254,0
61,96,254,0
62,91,254,0
63,57,254,0
64,49,254,0
65,26,254,0
66,19,254,0
67,17,254,0
68,2,254,0
69,1,254,0
70,0,254,2
71,0,254,4
72,0,254,16
73,0,254,19
74,0,254,24
75,0,254,47
76,0,254,58
77,0,254,94
78,0,254,96
79,0,254,97
80,0,254,104
81,0,254,136
82,0,254,145
83,0,254,153
84,0,254,187
85,0,254,190
86,0,254,191
87,0,254,222
88,0,254,227
89,0,254,243
90,0,254,249
91,0,254,253
92,0,251,254
93,0,241,254
94,0,239,254
95,0,213,254
96,0,208,254
97,0,173,254
98,0,167,254
99,0,162,254
100,0,125,254
101,0,120,254
102,0,111,254
103,0,79,254
104,0,72,254
105,0,34,254
106,0,30,254
107,0,9,254
108,0,7,254
109,0,8,254
110,26,33,254
111,0,8,254
112,0,46,254
113,0,80,254
114,0,120,254
115,0,254,124
116,0,254,50
117,5,254,5
118,92,254,0
119,115,254,0
120,248,254,0
121,226,254,0
122,97,254,0
123,52,254,0
124,0,254,52
125,0,254,144
126,0,254,227
127,0,254,254
128,0,240,254
129,0,210,254
130,0,121,254
131,0,74,254
132,0,7,254
133,0,7,254
134,254,73,0
135,192,254,0
136,0,254,196
137,254,239,0
138,0,36,254
139,141,254,0
140,156,156,156
141,0,6,198
142,0,254,136
143,186,186,186
144,0,8,250
145,0,118,254
146,98,100,154
147,0,7,254
148,236,236,235
149,160,160,160
150,254,254,254
151,247,203,120
152,254,82,0
153,198,234,198
154,187,254,0
155,97,254,0
156,0,254,108
157,223,254,0
158,53,254,0
159,0,238,254
160,254,212,0
161,0,254,193
162,0,204,254
163,0,171,254
164,0,121,254
165,175,175,175
166,242,236,0
167,217,251,0
168,16,254,0
169,3,254,0
170,0,125,254
171,0,119,254
172,0,254,49
173,0,118,254
174,0,254,141
175,0,80,254
176,0,254,122
177,0,254,126
178,175,175,175
179,0,240,254
180,0,254,140
181,120,254,0
182,0,254,228
183,0,254,246
184,0,211,254
185,0,254,16
186,0,254,61
187,0,254,89
188,0,71,254
189,0,254,196
190,21,254,0
191,78,254,0
192,0,254,225
193,124,230,199
194,75,254,0
195,0,118,254
196,0,254,186
197,0,163,254
198,3,254,46
199,0,120,254
200,220,220,220
201,145,254,0
202,136,254,0
203,192,254,0
204,0,254,253
205,0,252,254
206,0,254,122
207,245,245,245
208,0,235,254
209,0,254,3
210,0,36,254
211,50,254,0
212,254,254,254
213,0,171,254
214,0,233,241
215,0,254,150
216,0,254,21
217,0,33,254
218,18,246,35
219,0,254,99
220,0,118,254
221,94,254,0
222,97,254,0
223,196,196,196
224,119,119,119
225,0,114,254
226,0,254,122
227,97,99,153
228,55,254,0
229,0,254,121
230,0,254,247
231,218,218,218
232,0,254,96
233,0,69,254
234,6,175,28
235,0,254,194
236,0,205,254
237,0,58,254
238,0,254,129
239,2,254,0
240,0,119,254
241,0,122,254
242,113,113,113
243,22,254,0
244,0,254,52
245,0,122,254
246,0,8,250
247,0,254,144
248,0,76,254
249,253,253,253
250,0,119,254
251,0,254,121
252,3,254,0
253,0,242,254
254,0,119,254
255,179,179,179
256,0,210,254
257,0,254,226
258,0,254,109
259,0,254,190
260,0,164,254
261,0,254,19
262,0,31,254
263,0,118,254
264,0,254,106
265,0,118,254
266,0,254,21
267,0,254,50
268,0,236,254
269,0,254,56
270,0,37,254
271,0,169,254
272,0,254,94
273,0,121,254
274,0,254,101
275,209,209,209
276,0,122,254
277,0,254,142
278,109,109,109
279,0,115,254
280,97,99,152
281,0,225,233
282,0,114,254
283,0,8,250
284,0,254,146
285,0,150,167
286,0,254,186
287,0,254,246
288,0,67,254
289,0,206,254
290,0,254,223
291,0,242,254
292,0,114,254
293,0,74,254
294,0,213,254
295,0,31,254
296,0,211,254
297,252,252,252
298,0,8,250
299,0,172,254
300,0,34,254
301,0,171,254
302,0,21,251
303,0,116,254
304,0,126,254
305,0,165,254
306,0,125,254
307,0,18,174
308,0,76,254
309,0,78,254
310,0,73,254
311,0,30,254
312,0,37,254
313,170,170,170
314,190,190,190
315,0,7,254
316,0,8,254
317,243,243,243
318,0,7,202
319,0,7,202
320,0,7,202
321,0,7,202
322,215,215,216
323,249,249,249
324,214,214,214
325,176,176,176
326,180,180,180
327,214,214,214
328,178,178,178
329,175,175,175
330,213,213,213
331,106,106,106
332,104,104,104
333,113,113,113
334,237,237,237
335,36,36,36
336,254,254,254
337,251,251,251
338,254,254,254
339,3,3,3
340,252,252,252
341,254,254,254
