Segment,R,G,B,Assigned_Value
0,254,254,254,1.0992727272727272
1,254,254,254,1.0992727272727272
2,252,252,252,1.0992727272727272
3,201,201,201,1.015272727272727
4,3,3,3,1.0649090909090908
5,201,201,201,1.015272727272727
6,254,254,254,1.0992727272727272
7,135,135,135,1.042
8,254,254,254,1.0992727272727272
9,251,251,251,1.0267272727272727
10,254,254,254,1.0992727272727272
11,135,135,135,1.042
12,254,254,254,1.0992727272727272
13,254,254,254,1.0992727272727272
14,243,243,243,1.0305454545454544
15,254,254,254,1.0992727272727272
16,201,201,201,1.015272727272727
17,254,254,254,1.0992727272727272
18,203,203,206,1.015272727272727
19,254,254,254,1.0992727272727272
20,224,224,224,1.0343636363636364
21,254,253,254,1.0992727272727272
22,251,75,109,1.1221818181818182
23,254,23,68,1.126
24,254,24,68,1.126
25,254,23,68,1.126
26,254,22,67,1.126
27,0,246,241,1.0305454545454544
28,41,7,12,1.126
29,40,3,14,1.126
30,245,245,254,1.022909090909091
31,0,13,254,1.0
32,158,135,0,1.1145454545454545
33,234,118,60,1.1183636363636362
34,254,211,0,1.1069090909090908
35,35,253,18,1.0687272727272727
36,0,88,244,1.0038181818181815
37,254,254,254,1.0992727272727272
38,239,249,0,1.0916363636363635
39,254,188,0,1.1107272727272726
40,254,156,0,1.1145454545454545
41,227,195,0,1.1107272727272726
42,254,34,0,1.126
43,254,121,0,1.1183636363636362
44,254,166,0,1.1107272727272726
45,254,167,0,1.1107272727272726
46,254,169,0,1.1107272727272726
47,254,201,0,1.1069090909090908
48,254,239,0,1.103090909090909
49,254,241,0,1.103090909090909
50,254,252,0,1.0992727272727272
51,254,253,0,1.0992727272727272
52,249,254,0,1.0954545454545457
53,246,254,0,1.0954545454545457
54,227,254,0,1.0916363636363635
55,191,254,0,1.0878181818181818
56,190,254,0,1.0878181818181818
57,153,254,0,1.084
58,144,254,0,1.080181818181818
59,136,254,0,1.080181818181818
60,101,254,0,1.0763636363636362
61,96,254,0,1.0763636363636362
62,91,254,0,1.0763636363636362
63,57,254,0,1.0725454545454545
64,49,254,0,1.0725454545454545
65,26,254,0,1.0687272727272727
66,19,254,0,1.0687272727272727
67,17,254,0,1.0687272727272727
68,2,254,0,1.0649090909090908
69,1,254,0,1.061090909090909
70,0,254,2,1.061090909090909
71,0,254,4,1.061090909090909
72,0,254,16,1.0572727272727271
73,0,254,19,1.0572727272727271
74,0,254,24,1.0534545454545454
75,0,254,47,1.0534545454545454
76,0,254,58,1.0496363636363637
77,0,254,94,1.0458181818181818
78,0,254,96,1.0458181818181818
79,0,254,97,1.0458181818181818
80,0,254,104,1.0458181818181818
81,0,254,136,1.042
82,0,254,145,1.042
83,0,254,153,1.042
84,0,254,187,1.038181818181818
85,0,254,190,1.038181818181818
86,0,254,191,1.038181818181818
87,0,254,222,1.0343636363636364
88,0,254,227,1.0343636363636364
89,0,254,243,1.0305454545454544
90,0,254,249,1.0267272727272727
91,0,254,253,1.0267272727272727
92,0,251,254,1.022909090909091
93,0,241,254,1.022909090909091
94,0,239,254,1.022909090909091
95,0,213,254,1.015272727272727
96,0,208,254,1.015272727272727
97,0,173,254,1.0114545454545454
98,0,167,254,1.0114545454545454
99,0,162,254,1.0114545454545454
100,0,125,254,1.0076363636363637
101,0,120,254,1.0076363636363637
102,0,111,254,1.0076363636363637
103,0,79,254,1.0038181818181815
104,0,72,254,1.0038181818181815
105,0,34,254,1.0
106,0,30,254,1.0
107,0,9,254,1.0
108,0,7,254,1.0
109,0,8,254,1.0
110,26,33,254,1.0
111,0,8,254,1.0
112,0,46,254,1.0
113,0,80,254,1.0038181818181815
114,0,120,254,1.0076363636363637
115,0,254,124,1.042
116,0,254,50,1.0534545454545454
117,5,254,5,1.0649090909090908
118,92,254,0,1.0763636363636362
119,115,254,0,1.080181818181818
120,248,254,0,1.0954545454545457
121,226,254,0,1.0916363636363635
122,97,254,0,1.0763636363636362
123,52,254,0,1.0725454545454545
124,0,254,52,1.0496363636363637
125,0,254,144,1.042
126,0,254,227,1.0343636363636364
127,0,254,254,1.0267272727272727
128,0,240,254,1.022909090909091
129,0,210,254,1.015272727272727
130,0,121,254,1.0076363636363637
131,0,74,254,1.0038181818181815
132,0,7,254,1.0
133,0,7,254,1.0
134,254,73,0,1.1221818181818182
135,192,254,0,1.0878181818181818
136,0,254,196,1.038181818181818
137,254,239,0,1.103090909090909
138,0,36,254,1.0
139,141,254,0,1.080181818181818
140,156,156,156,1.042
141,0,6,198,1.0
142,0,254,136,1.042
143,186,186,186,1.038181818181818
144,0,8,250,1.0
145,0,118,254,1.0076363636363637
146,98,100,154,1.0038181818181815
147,0,7,254,1.0
148,236,236,235,1.103090909090909
149,160,160,160,1.0114545454545454
150,254,254,254,1.0992727272727272
151,247,203,120,1.1069090909090908
152,254,82,0,1.1183636363636362
153,198,234,198,1.038181818181818
154,187,254,0,1.084
155,97,254,0,1.0763636363636362
156,0,254,108,1.0458181818181818
157,223,254,0,1.0916363636363635
158,53,254,0,1.0725454545454545
159,0,238,254,1.019090909090909
160,254,212,0,1.1069090909090908
161,0,254,193,1.038181818181818
162,0,204,254,1.015272727272727
163,0,171,254,1.0114545454545454
164,0,121,254,1.0076363636363637
165,175,175,175,1.0114545454545454
166,242,236,0,1.103090909090909
167,217,251,0,1.0878181818181818
168,16,254,0,1.0687272727272727
169,3,254,0,1.0649090909090908
170,0,125,254,1.0076363636363637
171,0,119,254,1.0076363636363637
172,0,254,49,1.0534545454545454
173,0,118,254,1.0076363636363637
174,0,254,141,1.042
175,0,80,254,1.0038181818181815
176,0,254,122,1.0458181818181818
177,0,254,126,1.042
178,175,175,175,1.0114545454545454
179,0,240,254,1.022909090909091
180,0,254,140,1.042
181,120,254,0,1.080181818181818
182,0,254,228,1.0343636363636364
183,0,254,246,1.0305454545454544
184,0,211,254,1.015272727272727
185,0,254,16,1.0572727272727271
186,0,254,61,1.0496363636363637
187,0,254,89,1.0458181818181818
188,0,71,254,1.0038181818181815
189,0,254,196,1.038181818181818
190,21,254,0,1.0687272727272727
191,78,254,0,1.0763636363636362
192,0,254,225,1.0343636363636364
193,124,230,199,1.038181818181818
194,75,254,0,1.0763636363636362
195,0,118,254,1.0076363636363637
196,0,254,186,1.038181818181818
197,0,163,254,1.0114545454545454
198,3,254,46,1.0534545454545454
199,0,120,254,1.0076363636363637
200,220,220,220,1.0343636363636364
201,145,254,0,1.080181818181818
202,136,254,0,1.080181818181818
203,192,254,0,1.0878181818181818
204,0,254,253,1.0267272727272727
205,0,252,254,1.0267272727272727
206,0,254,122,1.0458181818181818
207,245,245,245,1.0305454545454544
208,0,235,254,1.019090909090909
209,0,254,3,1.061090909090909
210,0,36,254,1.0
211,50,254,0,1.0725454545454545
212,254,254,254,1.0992727272727272
213,0,171,254,1.0114545454545454
214,0,233,241,1.019090909090909
215,0,254,150,1.042
216,0,254,21,1.0572727272727271
217,0,33,254,1.0
218,18,246,35,1.0534545454545454
219,0,254,99,1.0458181818181818
220,0,118,254,1.0076363636363637
221,94,254,0,1.0763636363636362
222,97,254,0,1.0763636363636362
223,196,196,196,1.038181818181818
224,119,119,119,1.0076363636363637
225,0,114,254,1.0076363636363637
226,0,254,122,1.0458181818181818
227,97,99,153,1.0038181818181815
228,55,254,0,1.0725454545454545
229,0,254,121,1.0458181818181818
230,0,254,247,1.0305454545454544
231,218,218,218,1.0343636363636364
232,0,254,96,1.0458181818181818
233,0,69,254,1.0038181818181815
234,6,175,28,1.0534545454545454
235,0,254,194,1.038181818181818
236,0,205,254,1.015272727272727
237,0,58,254,1.0
238,0,254,129,1.042
239,2,254,0,1.0649090909090908
240,0,119,254,1.0076363636363637
241,0,122,254,1.0076363636363637
242,113,113,113,1.0076363636363637
243,22,254,0,1.0687272727272727
244,0,254,52,1.0496363636363637
245,0,122,254,1.0076363636363637
246,0,8,250,1.0
247,0,254,144,1.042
248,0,76,254,1.0038181818181815
249,253,253,253,1.0992727272727272
250,0,119,254,1.0076363636363637
251,0,254,121,1.0458181818181818
252,3,254,0,1.0649090909090908
253,0,242,254,1.022909090909091
254,0,119,254,1.0076363636363637
255,179,179,179,1.038181818181818
256,0,210,254,1.015272727272727
257,0,254,226,1.0343636363636364
258,0,254,109,1.0458181818181818
259,0,254,190,1.038181818181818
260,0,164,254,1.0114545454545454
261,0,254,19,1.0572727272727271
262,0,31,254,1.0
263,0,118,254,1.0076363636363637
264,0,254,106,1.0458181818181818
265,0,118,254,1.0076363636363637
266,0,254,21,1.0572727272727271
267,0,254,50,1.0534545454545454
268,0,236,254,1.019090909090909
269,0,254,56,1.0496363636363637
270,0,37,254,1.0
271,0,169,254,1.0114545454545454
272,0,254,94,1.0458181818181818
273,0,121,254,1.0076363636363637
274,0,254,101,1.0458181818181818
275,209,209,209,1.015272727272727
276,0,122,254,1.0076363636363637
277,0,254,142,1.042
278,109,109,109,1.0076363636363637
279,0,115,254,1.0076363636363637
280,97,99,152,1.0038181818181815
281,0,225,233,1.019090909090909
282,0,114,254,1.0076363636363637
283,0,8,250,1.0
284,0,254,146,1.042
285,0,150,167,1.0114545454545454
286,0,254,186,1.038181818181818
287,0,254,246,1.0305454545454544
288,0,67,254,1.0038181818181815
289,0,206,254,1.015272727272727
290,0,254,223,1.0343636363636364
291,0,242,254,1.022909090909091
292,0,114,254,1.0076363636363637
293,0,74,254,1.0038181818181815
294,0,213,254,1.015272727272727
295,0,31,254,1.0
296,0,211,254,1.015272727272727
297,252,252,252,1.0992727272727272
298,0,8,250,1.0
299,0,172,254,1.0114545454545454
300,0,34,254,1.0
301,0,171,254,1.0114545454545454
302,0,21,251,1.0
303,0,116,254,1.0076363636363637
304,0,126,254,1.0076363636363637
305,0,165,254,1.0114545454545454
306,0,125,254,1.0076363636363637
307,0,18,174,1.0
308,0,76,254,1.0038181818181815
309,0,78,254,1.0038181818181815
310,0,73,254,1.0038181818181815
311,0,30,254,1.0
312,0,37,254,1.0
313,170,170,170,1.0114545454545454
314,190,190,190,1.038181818181818
315,0,7,254,1.0
316,0,8,254,1.0
317,243,243,243,1.0305454545454544
318,0,7,202,1.0
319,0,7,202,1.0
320,0,7,202,1.0
321,0,7,202,1.0
322,215,215,216,1.015272727272727
323,249,249,249,1.0954545454545457
324,214,214,214,1.0343636363636364
325,176,176,176,1.0114545454545454
326,180,180,180,1.038181818181818
327,214,214,214,1.0343636363636364
328,178,178,178,1.038181818181818
329,175,175,175,1.0114545454545454
330,213,213,213,1.015272727272727
331,106,106,106,1.0076363636363637
332,104,104,104,1.1183636363636362
333,113,113,113,1.0076363636363637
334,237,237,237,1.103090909090909
335,36,36,36,1.126
336,254,254,254,1.0992727272727272
337,251,251,251,1.0267272727272727
338,254,254,254,1.0992727272727272
339,3,3,3,1.0649090909090908
340,252,252,252,1.0992727272727272
341,254,254,254,1.0992727272727272
